요구사항 정의서,,,,,,,
,,,,,,,
분류,요구사항명,,,,요구사항 내용,비고,기능 유형
상담,상담 업무 지원,채팅,CSU-CHAT-001,STT 텍스트 기반 내부 문서 검색 및 답변 제공,"1. 상담사가 ‘통화 시작’ 상태로 전환하면 음성 입력을 STT(음성→텍스트)로 실시간 변환한다.
2. STT 텍스트에서 핵심 키워드/의도(예: ‘카드 분실’, ‘해외 결제’, ‘수수료’)를 자동 추출한다.
3. 추출된 키워드/의도를 기반으로 내부 문서 검색을 자동 실행한다(상담 중 반복 갱신).
4. 검색 결과는 ‘근거 문서’ 목록을 카드 형태로 표시하고 각 카드의 좌측 상단에는 해당 문서의 제목을 표시한다.
5. 답변 초안에는 근거로 사용된 문서 링크/문단 위치(하이라이트)를 함께 제공하여 검증 가능해야 한다.",,기능
,,,CSU-CHAT-002,키워드 입력 기반 내부 문서 검색 및 답변 제공,"1. 상담 화면에 ‘키워드 검색’ 입력창을 제공한다.
2. 상담사는 키워드 또는 자연어로 질문을 입력할 수 있어야 한다.
3. 입력값을 LLM에 전달하여 내부 문서 검색을 수행하고 상위 결과를 반환한다.
4. 검색 결과는 문서 목록을 제공하며, 답변에는 근거 문서가 연결되어야 한다.",수동 입력은 STT 사용 환경에서도 STT와 함께 동작 가능해야 함,
,,,CSU-CHAT-003,상담 가이드,"1. 현재 상담의 STT/키워드/입력 질문을 기반으로 과거 상담 이력(유사 문의)을 자동으로 검색한다.
2. 시스템은 상위 유사 케이스를 기반으로 ‘다음 권장 안내 문구’를 생성·제시한다.",,
,,상담 현황,CSU-STAT-001,고객 히스토리,"1. 상담 화면에 고객 식별 정보를 기반으로 고객 히스토리를 조회한다.
2. 고객 히스토리는 최근 상담 내역(일시/문의유형/처리결과)을 포함한다.
3. 고객 히스토리에는 과거 상담 요약 및 후처리 결과(접수번호/완료 여부)를 함께 표시한다.
4. 진행 중인 미완료 Task(추가 처리 필요 항목)가 존재할 경우, 우선 노출하고 체크리스트 형태로 관리한다.
5. 상담사는 특정 과거 상담 건을 선택하여 상세 내용(요약/전문/참고 문서)을 조회할 수 있어야 한다.",,
,,,CSU-STAT-002,현재 통화 시간,"1. 상담 시작 시점부터 현재까지의 통화 시간을 실시간 타이머로 표시한다.
2. 통화 상태(통화중/보류/대기/종료)를 표시하고 상태 변경 시 시각을 함께 기록한다.
3. 통화 종료 시 최종 통화 시간과 상태 타임라인을 상담 이력에 저장한다.",,
,분석 및 평가,피드백,ANL-FB-001,고객 감정 변화 분석 및 시각화,상담 종료 후 고객 발화 데이터를 분석한 감정 상태를 정량 지표로 산출해 그래프로 표기한다. 상담 시간 흐름에 따른 감정 변화 추이를 시각화 형태로 제공하고 감정 표현 발생 빈도를 함께 표시한다. 해당 정보는 상담 품질 평가 및 피드백 자료로 활용한다.,,
,,,,,,,
,,,,,,,
,,,ANL-FB-002,상담 종료 후 직원 피드백 및 케어,"상담 데이터 및 내부 매뉴얼 문서를 기반으로 상담 품질을 분석한다. 상담 과정에서 장점으로 작용한 요소와 개선이 필요한 부분을 구조화된 형태로 피드백을 제공하며, 상담 과정이 내부 기준에 부합하는지 여부를 함께 제시한다.",,
,,,,,,,
,,,,,,,
,,상담 후속 작업,ACW-001,상담 내용 자동 요약,"상담 종료 시 상담 내역을 기반으로 자동 요약한다. 해당 내용은 후처리 문서로 활용되며, 요약 내용은 상담 목정, 주요 이슈, 처리 결과가 포함되며 사용자가 직접 수정 및 보완할 수 있어야 한다.  사용자가 입력을 마칠 시 상담 이력에 저장된다.",,
,,,,,,,
,,,,,,,
,,,ACW-002,유사 사례 후처리 예시 제공,상담 종료 후 내부 매뉴얼 및 과거 유사 사례를 검색해 후처리에 필요한 상담 가이드를 제공한다. 유사 사례에서 실제 수행된 후처리 내용 및 조치 방안을 함께 표시하여 상담사의 의사결정을 지원한다.,,
,,,,,,,
,,,,,,,
,,,ACW-003,상담 내역 전문 제공,"상담원과 고객 간 상담 음성 데이터를 텍스트 형태의 상담 내역 전문으로 제공한다. 상담 시작부터 종료까지의 발화 내용을 순서대로 기록하며, 화자(상담원/고객) 구분이 가능해야 한다.","음성 인식 기반 자동 생성 / 개인정보 포함, 접근 권한 제한 필요",
,,,,,,,
,,,,,,,
,,,ACW-004,다음 일정 저장 및 추가 메시지 제공,동일 고객의 상담이 단일 상담으로 종료되지 않는 경우 상담을 하나의 Task 시퀀스로 관리한다. 상담 종료 시 후속 부서 전달 사항(To-do)을 생성하고 고객 히스토리에 저장한다. 이후 재상담 시 이전 상담 이력과 미완료 Task 정보를 함께 제공한다.,후속 부서 전달용 데이터 연계,
,,,,,,,
,,,,,,,
교육,교육 및 역량 강화,시뮬레이션,EDU-SIM-001,실제 사례 기반 페르소나 생성,"과거 실제 상담 데이터를 기반으로 고객의 배경, 상담 사유, 고객 반응을 반영한 페르소나를 생성한다.
AI 임의 생성이 아닌 실제 상담 이력이 있는 '하나카드' 상담 데이터를 활용한다.",개인정보 비식별화 필수,기능
,,,EDU-SIM-002,상담 시뮬레이션 진행,"신입 상담사는 실제 상담과 유사한 환경에서 AI 고객과 대화하며 상담을 연습한다. 
시뮬레이션은 음성/텍스트 방식을 모두 지원하며 실제 상담 흐름에 따라 진행된다.
ex. 인사 > 문제 파악 > 안내 > 종료",시뮬레이션 도중 상담 중단 및 재시작 가능,
,,,EDU-SIM-003,실시간 상담 가이드 제공,"시뮬레이션 중 내부 매뉴얼 및 과거 유사 사례를 기반으로 적절한 안내 문구 및 상담 가이드를 실시간으로 제공한다.
가이드는 상담 화면 내 별도 영역으로 제공한다.",,
,,피드백,EDU-FB-001,시뮬레이션 결과 분석,"시뮬레이션 종료 후 종합 분석하여 평가 결과를 제공한다.
기준 1) 고객의 상황에 맞는 적절한 대응 여부
기준 2) 표현 방식 및 커뮤니케이션의 적절성
기준 3) 기업 매뉴얼 준수 여부
각 기준은 정성 평가 및 점수 형태로 제공한다.",,
,,,EDU-FB-002,피드백 제공 및 가이드,"시뮬레이션 결과를 기반으로 상담원이 잘한 항목과 개선이 필요한 항목을 구분하여 피드백을 제공한다.
개선이 필요한 항목에 대해서는 기업 매뉴얼 및 권장 응대 예시를 함께 제시한다. ",,
,,,EDU-FB-003,교육 시뮬레이션 이력 저장,"시뮬레이션 수행 이력, 평과 결과, 피드백 내용을 저장하고 추후 조회할 수 있다.",,
대시보드,상담 관리,상담내역,DASH-STAT-01,상담 내역 표시,"상담 내역 리스트를 제공한다.
각 상담에 대해 고객 정보, 상담 유형, 상담 상태(진행/완료/미완료)를 함께 표시한다.",최신순 정렬 및 실시간으로 갱신,기능
,,이관내역,DASH-STAT-02,이관 내역 표시,"이관 내역 리스트를 제공한다.
총 건수, 완료 건수, 재통화 건수, 대기 건수, 취소 건수를 함께 표시한다.",상담사의 메인 페이지에서 볼 수 있고 실시간으로 갱신,
,공지사항,공지사항,DASH-NOTI-01,공지사항 관리,"관리자는 대시보드에 노출될 공지사항을 등록, 수정, 삭제할 수 있다.
공지사항에는 제목, 내용, 노출 기간을 설정할 수 있다.",관리자 권한 필요 기능,
,,,DASH-NOTI-02,공지사항 표시,모든 상담원의 대시보드에 공지사항 리스트를 표시한다.,,
,,이슈사항,DASH-NOTI-03,오늘의 이슈 리스트 관리,"관리자는 대시보드에 노출될 이번주 가장 많이 접수된 상담 유형 및 이슈를 등록, 수정, 삭제 할 수 있다.
이슈에는 제목, 내용, 상담 유형, 노출 기간을 설정할 수 있다.",관리자 권한 필요 기능,
,,,DASH-NOTI-04,오늘의 이슈 리스트 표시,모든 상담원의 대시보드에 이번주 가장 많이 접수된 상담 유형 및 이슈를 제공한다.,,
,,,,,,,
품질,성능,STT,NFR-STT-001,STT 인식 정확도,STT 인식 정확도는 WER(Word Error Rate) 0.1 미만을 만족해야 한다.,WER는 잘못 인식한 단어 수 / 총 단어 수로 산정한다.,비기능
,,,NFR-STT-002,STT 실시간성,STT 실시간성은 RTF(Real Time Factor) 0.5 이하를 만족해야 한다.,RTF는 처리 시간 / 음성 재생 시간으로 산정한다.,
,,RAG,NFR-RAG-001,답변 신뢰성,답변 신뢰성은 RAGAS Faithfulness 평가 기준 0.9점 이상을 목표로 한다.,"신뢰성은 ‘RAG로 검색된 문맥으로부터 추론 가능한 주장 수 / 생성된 답변의 전체 주장 수’로 산정한다.
평가 도구: RAGAS(개선 방법으로 RLHF/DPO 등 활용 가능)",
,,,NFR-RAG-002,검색 정확도,검색 정확도는 Recall@3(Top-3 재현율) 90% 이상을 목표로 한다.,Recall@3는 상위 3개 결과 내 정답 문서 포함 여부(O/X)로 평가한다.,
,,,NFR-RAG-003,응답 속도,응답 속도는 End-to-End Latency 3초 이내를 목표로 한다.,측정은 질문 입력 시점부터 답변 출력 시점까지의 소요 시간으로 한다.,
,,후처리,NFR-POST-001,요약 품질,요약 품질은 ROUGE-L Score 0.45 이상을 목표로 한다.,측정은 사람 요약문과의 단어 및 문장 겹침 비율로 한다.,
,,,NFR-POST-002,분류 정확도,상담 자동 분류 성능은 Macro F1-Score 0.9 이상을 목표로 한다.,Macro F1-Score는 정밀도(Precision)와 재현율(Recall)의 조화 평균으로 산정한다.,
