작업 ID,주요 업무,세부 업무,담당자,상태,시작일,마감일,우선순위
5.4.4,기능 구현,AI 추천 답변 시스템,,진행 예정,2026-01-22,2026-02-02,아주 높음
5.5,기능 구현,교육 시뮬레이션 시스템 (EDU),,,,,
5.5.1,기능 구현,시뮬레이션 시나리오 설계,,진행 예정,2026-01-16,2026-01-25,높음
5.5.2,기능 구현,페르소나 기반 교육 콘텐츠 개발,,진행 예정,2026-01-18,2026-01-28,높음
5.5.3,기능 구현,실시간 피드백 시스템 구현,,진행 예정,2026-01-22,2026-02-01,높음
5.5.4,기능 구현,AI 기반 평가 알고리즘,,진행 예정,2026-01-24,2026-02-02,중간
5.6,기능 구현,대시보드 및 통계 (DASH),,,,,
5.6.1,기능 구현,실시간 상담 현황 대시보드,,진행 예정,2026-01-20,2026-01-30,높음
5.6.2,기능 구현,통계 데이터 수집 시스템,,진행 예정,2026-01-22,2026-02-01,높음
5.6.3,기능 구현,상담 내역 조회 기능,,진행 예정,2026-01-22,2026-01-30,중간
5.6.4,기능 구현,리포트 생성 기능,,진행 예정,2026-01-25,2026-02-02,중간
5.7,기능 구현,통합 및 연결,,,,,
5.7.1,기능 구현,Frontend-Backend 연결,전체,진행 예정,2026-01-28,2026-02-04,아주 높음
5.7.2,기능 구현,AI 모델 통합,전체,진행 예정,2026-01-28,2026-02-04,아주 높음
5.7.3,기능 구현,전체 시스템 통합 테스트,전체,진행 예정,2026-02-01,2026-02-04,아주 높음
6,인프라 배포 보안,,,,,,
6.1,인프라 배포 보안,인프라 구축,,,,,
6.1.1,인프라 배포 보안,인프라 설계,,진행 예정,2026-01-20,2026-01-26,높음
6.1.2,인프라 배포 보안,클라우드 환경 구축,,진행 예정,2026-01-22,2026-01-30,높음
6.1.3,인프라 배포 보안,CI/CD 파이프라인 구축,,진행 예정,2026-01-25,2026-02-02,중간
6.2,인프라 배포 보안,배포,,,,,
6.2.1,인프라 배포 보안,배포 환경 구축,,진행 예정,2026-01-27,2026-02-04,높음
6.2.2,인프라 배포 보안,스테이징 환경 배포,,진행 예정,2026-01-28,2026-02-02,높음
6.2.3,인프라 배포 보안,프로덕션 배포,,진행 예정,2026-02-03,2026-02-04,아주 높음
6.3,인프라 배포 보안,보안,,,,,
6.3.1,인프라 배포 보안,개인정보 보호 설계,,진행 예정,2026-01-16,2026-01-25,아주 높음
6.3.2,인프라 배포 보안,데이터 암호화 구현 (비밀번호 민감정보),,진행 예정,2026-01-18,2026-01-28,아주 높음
7,테스트 및 검증,,,,,,
7.1,테스트 및 검증,기능 테스트,,,,,
7.1.1,테스트 및 검증,단위 테스트,,진행 예정,2026-01-20,2026-01-30,높음
7.1.2,테스트 및 검증,통합 테스트,,진행 예정,2026-01-28,2026-02-04,아주 높음
7.1.3,테스트 및 검증,E2E 테스트,,진행 예정,2026-02-01,2026-02-04,높음
7.2,테스트 및 검증,성능 테스트,,,,,
7.2.1,테스트 및 검증,STT 성능 테스트,,진행 예정,2026-01-28,2026-02-02,아주 높음
7.2.2,테스트 및 검증,RAG 응답 시간 테스트 (< 3초),,진행 예정,2026-01-28,2026-02-02,아주 높음
7.2.3,테스트 및 검증,동시 접속자 부하 테스트,,진행 예정,2026-01-30,2026-02-04,높음
7.2.4,테스트 및 검증,데이터베이스 쿼리 최적화,,진행 예정,2026-01-28,2026-02-04,높음
7.3,테스트 및 검증,품질 검증,,,,,
7.3.1,테스트 및 검증,감정 분석 정확도 검증,,진행 예정,2026-01-30,2026-02-04,높음
7.3.2,테스트 및 검증,사용자 시나리오 테스트,,진행 예정,2026-02-01,2026-02-04,높음
7.3.3,테스트 및 검증,테스트 결과 보고서 작성,,진행 예정,2026-02-02,2026-02-04,중간
8,최종 산출물 및 발표,,,,,,
8.1,최종 산출물 및 발표,문서화,,,,,
8.1.1,최종 산출물 및 발표,사용자 매뉴얼 작성,,진행 예정,2026-01-25,2026-02-05,높음
8.1.2,최종 산출물 및 발표,관리자 가이드 작성,,진행 예정,2026-01-28,2026-02-05,중간
8.1.3,최종 산출물 및 발표,API 문서화,,진행 예정,2026-01-25,2026-02-02,중간
8.1.4,최종 산출물 및 발표,운영 매뉴얼 작성,,진행 예정,2026-02-01,2026-02-06,중간
8.2,최종 산출물 및 발표,발표 준비,,,,,
8.2.1,최종 산출물 및 발표,중간 발표 PT 자료 작성,전체,진행 예정,2026-01-10,2026-01-13,아주 높음
8.2.2,최종 산출물 및 발표,중간 발표 리허설,전체,진행 예정,2026-01-14,2026-01-14,아주 높음
8.2.3,최종 산출물 및 발표,최종 발표 PT 자료 작성,전체,진행 예정,2026-02-05,2026-02-09,아주 높음
8.2.4,최종 산출물 및 발표,최종 발표 리허설,전체,진행 예정,2026-02-10,2026-02-10,아주 높음
8.2.5,최종 산출물 및 발표,데모 시연 준비,전체,진행 예정,2026-02-05,2026-02-10,아주 높음
